Question,Option A,Option B,Option C,Option D,Correct Option
Solve  x: for $2x + 3 = 7$,x = 1,x = 2,x = 3,x = 4,B
Solve  x: for $4x - 5 = 15$,x = 2.5,x = 3.5,x = 5,x = 7.5,C
Solve  x: for $7x + 8 = 29$,x = 3,x = 4,x = 5,x = 6,A
Solve  x: for $x - 3 = 12$,x = 10,x = 12,x = 15,x = 9,C
A number increased by 5 is 12. Find the number.,5,6,7,8,B
"Three times a number, decreased by 4, equals 20. Find the number.",x = 8,x = 7,x = 6,x = 9,A
The sum of a number and 10 is twice the number. Find the number.,x = 5,x = 6,x = 7,x = 10,A
Solve  x: for $3x + 5 = 11$,x = 1,x = 2,x = 3,x = 4,B
Solve  x: for $5x - 7 = 13$,x = 4,x = 5,x = 6,x = 7,C
Solve  x: for $\frac{2}{3}x + 4 = 10$,x = 9,x = 8,x = 7,x = 6,B
